green beige,190,189,127
beige,194,176,120
sand yellow,198,166,100
signal yellow,229,190,001
golden yellow,205,164,052
honey yellow,169,131,007
maize yellow,228,160,016
daffodil yellow,220,156,000
brown beige,138,102,066
lemon yellow,199,180,070
oyster white,234,230,202
ivory,225,204,079
light ivory,230,214,144
sulfur yellow,237,255,033
saffron yellow,245,208,051
zinc yellow,248,243,053
grey beige,158,151,100
olive yellow,153,153,080
rape yellow,243,218,011
traffic yellow,250,210,001
ochre yellow,174,160,075
luminous yellow,255,255,000
curry,157,145,001
melon yellow,244,169,000
broom yellow,214,174,001
dahlia yellow,243,165,005
pastel yellow,239,169,074
pearl beige,106,093,077
pearl gold,112,083,053
sun yellow,243,159,024
yellow orange,237,118,014
red orange,201,060,032
vermilion,203,040,033
pastel orange,255,117,020
pure orange,244,070,017
luminous orange,255,035,001
luminous bright orange,255,164,032
bright red orange,247,094,037
traffic orange,245,064,033
signal orange,216,075,032
deep orange,236,124,038
salmon range,235,106,014
pearl orange,195,088,049
flame red,175,043,030
signal red,165,032,025
carmine red,162,035,029
ruby red,155,017,030
purple red,117,021,030
wine red,094,033,041
black red,065,034,039
oxide red,100,036,036
brown red,120,031,025
beige red,193,135,107
tomato red,161,035,018
antique pink,211,110,112
light pink,234,137,154
coral red,179,040,033
rose,230,050,068
strawberry red,213,048,050
traffic red,204,006,005
salmon pink,217,080,048
luminous red,248,000,000
luminous bright red,254,000,000
raspberry red,197,029,052
pure  red,203,050,052
orient red,179,036,040
pearl ruby red,114,020,034
pearl pink,180,076,067
red lilac,109,063,091
red violet,146,043,062
heather violet,222,076,138
claret violet,110,028,052
blue lilac,108,070,117
traffic purple,160,052,114
purple violet,074,025,044
signal violet,144,070,132
pastel violet,164,125,144
telemagenta,215,045,109
pearl violet,134,115,161
pearl black berry,108,104,129
violet blue,042,046,075
green blue,031,052,056
ultramarine blue,032,033,079
saphire blue,029,030,051
black blue,024,023,028
signal blue,030,045,110
brillant blue,062,095,138
grey blue,038,037,045
azure blue,002,086,105
gentian blue,014,041,075
steel blue,035,026,036
light blue,059,131,189
cobalt blue,037,041,074
pigeon blue,096,111,140
sky blue,034,113,179
traffic blue,006,057,113
turquoise blue,063,136,143
capri blue,027,085,131
ocean blue,029,051,074
water blue,037,109,123
night blue,037,040,080
distant blue,073,103,141
pastel blue,093,155,155
pearl gentian blue,042,100,120
pearl night blue,016,044,084
patina green,049,102,080
emerald green,040,114,051
leaf green,045,087,044
olive green,066,070,050
blue green,031,058,061
moss green,047,069,056
grey olive,062,059,050
bottle green,052,059,041
brown green,057,053,042
fir green,049,055,043
grass green,053,104,045
reseda green,088,114,070
black green,052,062,064
reed green,108,113,086
yellow olive,071,064,046
black olive,059,060,054
turquoise green,030,089,069
may green,076,145,065
yellow green,087,166,057
pastel green,189,236,182
chrome green,046,058,035
pale green,137,172,118
olive drab,037,034,027
traffic green,048,132,070
fern green,061,100,045
opal green,001,093,082
light green,132,195,190
pine green,044,085,069
mint green,032,096,061
signal green,049,127,067
mint turquoise,073,126,118
pastel turquoise,127,181,181
pearl green,028,084,045
pearl opal green,022,053,055
pure green,000,143,057
luminous green,000,187,045
squirrel grey,120,133,139
silver grey,138,149,151
olive grey,126,123,082
moss grey,108,112,089
signal grey,150,153,146
mouse grey,100,107,099
beige grey,109,101,082
khaki grey,106,095,049
green grey,077,086,069
tarpaulin grey,076,081,074
iron grey,067,075,077
basalt grey,078,087,084
brown grey,070,069,049
slate grey,067,071,080
anthracite grey,041,049,051
black grey,035,040,043
umbra grey,051,047,044
concrete grey,104,108,094
graphite grey,071,074,081
granite grey,047,053,059
stone grey,139,140,122
blue grey,071,075,078
pebble grey,184,183,153
cement grey,125,132,113
yellow grey,143,139,102
light grey,203,208,204
platinum grey,127,118,121
dusty grey,125,127,120
agate grey,195,195,195
quartz grey,108,105,096
window grey,157,161,170
traffic grey a,141,148,141
traffic grey b,078,084,082
silk grey,202,196,176
telegrey 1,144,144,144
telegrey 2,130,137,143
telegrey 4,208,208,208
pearl mouse grey,137,129,118
green brown,130,108,052
ochre brown,149,095,032
signal brown,108,059,042
clay brown,115,066,034
copper brown,142,064,042
fawn brown,089,053,031
olive brown,111,079,040
nut brown,091,058,041
red brown,089,035,033
sepia brown,056,044,030
chestnut brown,099,058,052
mahogany brown,076,047,039
chocolate brown,069,050,046
grey brown,064,058,058
black brown,033,033,033
orange brown,166,094,046
beige brown,121,085,061
pale brown,117,092,072
terra brown,078,059,049
pearl copper,118,060,040
cream,250,244,227
grey white,231,235,218
signal white,244,244,244
signal black,040,040,040
jet black,010,010,013
white aluminium,165,165,165
grey aluminium,143,143,143
pure white,255,255,255
graphite black,028,028,028
traffic white,246,246,246
traffic black,030,030,030
papyrus white,207,211,205
pearl light grey,156,156,156
pearl dark grey,130,130,130
